author,author_type,title,filename,relative_path,encoding_used,char_count,char_no_space_count,word_count,sentence_count,avg_sentence_length_words,sentence_length_std,sentence_length_median,short_sentence_ratio_1_3,sentence_ratio_4_7,sentence_ratio_8_15,long_sentence_ratio_16_plus,hangul_ratio,hanja_count,hanja_ratio,circle_count,circle_ratio,broken_char_ratio,quote_count,comma_count,question_count,exclamation_count,ellipsis_count,dialogue_sentence_ratio,comma_per_sentence,question_per_sentence,exclamation_per_sentence,ellipsis_per_sentence,lexical_diversity,first_person_expr_ratio,negation_expr_ratio,conceptual_expr_ratio,experimental_expr_ratio,nature_word_ratio,sensory_word_ratio,emotion_word_ratio,color_word_ratio,body_word_ratio,social_reality_word_ratio,rural_life_word_ratio,quality_flags
채만식,사회비판형,레디메이드_인생,레디메이드_인생.txt,final_corpus/채만식/레디메이드_인생.txt,utf-8,23122,17492,5669,667,8.499250374812593,6.645979229415497,7.0,0.2383808095952024,0.29985007496251875,0.328335832083958,0.13343328335832083,0.9105876972330208,0,0.0,0,0.0,0.0,326,58,63,32,197,0.3118440779610195,0.08695652173913043,0.0944527736131934,0.047976011994003,0.29535232383808097,0.6362674192979362,0.05203739636620215,0.0298112541894514,0.013229846533780208,0.0035279590756747223,0.050802610689716,0.006526724289998236,0.002822367260539778,0.0017639795378373612,0.029105662374316457,0.010760275180807903,0.014464632210266361,ok
채만식,사회비판형,미스터_방,미스터_방.txt,final_corpus/채만식/미스터_방.txt,utf-8,10998,8228,2780,245,11.346938775510203,9.45440404970229,8.0,0.18775510204081633,0.24897959183673468,0.33877551020408164,0.22448979591836735,0.9084832280019446,0,0.0,0,0.0,0.0,136,276,17,9,24,0.3306122448979592,1.126530612244898,0.06938775510204082,0.036734693877551024,0.09795918367346938,0.7251798561151079,0.03884892086330935,0.01870503597122302,0.008633093525179856,0.0017985611510791368,0.05251798561151079,0.003237410071942446,0.001079136690647482,0.001079136690647482,0.02410071942446043,0.0035971223021582736,0.013309352517985611,ok
채만식,사회비판형,치숙,치숙.txt,final_corpus/채만식/치숙.txt,utf-8,14044,10350,3424,315,10.86984126984127,9.276299120426753,8.0,0.19365079365079366,0.2761904761904762,0.2920634920634921,0.23809523809523808,0.9181642512077295,0,0.0,0,0.0,0.0,270,125,94,31,78,0.26666666666666666,0.3968253968253968,0.2984126984126984,0.09841269841269841,0.24761904761904763,0.6320093457943925,0.07184579439252337,0.029789719626168224,0.012266355140186916,0.003796728971962617,0.04935747663551402,0.004672897196261682,0.0014602803738317756,0.002628504672897196,0.01255841121495327,0.014310747663551402,0.023072429906542055,ok
채만식,사회비판형,태평천하,태평천하.txt,final_corpus/채만식/태평천하.txt,utf-8,48878,36983,11928,1142,10.444833625218914,9.656446379030617,7.0,0.2775831873905429,0.22679509632224168,0.2714535901926445,0.22416812609457093,0.9113376416191223,0,0.0,0,0.0,0.0,583,986,183,224,448,0.37565674255691767,0.8633975481611208,0.16024518388791595,0.19614711033274956,0.3922942206654991,0.5912139503688799,0.04594232059020791,0.023474178403755867,0.013078470824949699,0.0020959087860496313,0.05457746478873239,0.0061200536552649225,0.0018443997317236754,0.0018443997317236754,0.041666666666666664,0.0061200536552649225,0.015425888665325285,ok
채만식,사회비판형,허생전,허생전.txt,final_corpus/채만식/허생전.txt,utf-8,54590,41226,13363,1186,11.267284991568296,8.546187904827189,9.0,0.16188870151770657,0.23355817875210794,0.3608768971332209,0.2436762225969646,0.9269635666812206,0,0.0,0,0.0,0.0,704,974,84,3,81,0.3600337268128162,0.821247892074199,0.07082630691399663,0.002529510961214165,0.06829679595278246,0.521140462471002,0.05111127740776772,0.027014891865599043,0.010177355384269999,0.0014966699094514705,0.06173763376487316,0.00404100875551897,0.0024695053505949262,0.0012721694230337498,0.025742722442565293,0.010701189852578013,0.01317069520317294,ok
이광수,계몽논설형,가실,가실.txt,final_corpus/이광수/가실.txt,utf-8,19234,14193,5055,487,10.379876796714578,7.9460091351436315,9.0,0.13347022587268995,0.31211498973305957,0.35728952772073924,0.1971252566735113,0.9198900866624392,0,0.0,0,0.0,0.0,260,332,28,20,28,0.35523613963039014,0.6817248459958932,0.057494866529774126,0.04106776180698152,0.057494866529774126,0.5533135509396637,0.059742828882294756,0.014441147378832838,0.006923837784371909,0.0019782393669634025,0.06587537091988131,0.011275964391691394,0.005143422354104847,0.002373887240356083,0.03105835806132542,0.0003956478733926805,0.017804154302670624,ok
이광수,계몽논설형,단종애사,단종애사.txt,final_corpus/이광수/단종애사.txt,utf-8,45663,33969,11753,1058,11.108695652173912,8.843017601614138,9.0,0.12098298676748583,0.30151228733459357,0.3553875236294896,0.222117202268431,0.9428596661662104,0,0.0,0,0.0,0.0,420,311,68,1,8,0.30434782608695654,0.2939508506616257,0.06427221172022685,0.000945179584120983,0.007561436672967864,0.49868118778184295,0.04688164723900281,0.026801667659321026,0.011571513656087808,0.001786777843954735,0.03207691653194929,0.004424402280268867,0.003913894324853229,0.0026376244363141327,0.02492980515613035,0.0004254232961796988,0.013613545477750361,ok
이광수,계몽논설형,무명,무명.txt,final_corpus/이광수/무명.txt,utf-8,44313,32795,11552,1036,11.150579150579151,9.367368690816068,9.0,0.13223938223938225,0.29633204633204635,0.3503861003861004,0.22104247104247104,0.9362097880774508,0,0.0,6,0.00018295471870711998,0.0,408,566,231,25,4,0.3166023166023166,0.5463320463320464,0.22297297297297297,0.02413127413127413,0.003861003861003861,0.4809556786703601,0.0684729916897507,0.021208448753462603,0.02328601108033241,0.0024238227146814403,0.047351108033240996,0.011599722991689751,0.002077562326869806,0.0023372576177285317,0.02389196675900277,0.002943213296398892,0.016707063711911357,ok
이광수,계몽논설형,소년의_비애,소년의_비애.txt,final_corpus/이광수/소년의_비애.txt,utf-8,12441,9339,3115,289,10.778546712802768,7.341361939026725,9.0,0.07612456747404844,0.31141868512110726,0.4532871972318339,0.15916955017301038,0.942070885533783,0,0.0,0,0.0,0.0,100,111,6,7,4,0.22145328719723184,0.38408304498269896,0.020761245674740483,0.02422145328719723,0.01384083044982699,0.6022471910112359,0.048154093097913325,0.02086677367576244,0.015088282504012842,0.0016051364365971107,0.06292134831460675,0.004173354735152488,0.012199036918138041,0.0022471910112359553,0.03242375601926164,0.0006420545746388443,0.017014446227929372,ok
이광수,계몽논설형,윤광호,윤광호.txt,final_corpus/이광수/윤광호.txt,utf-8,14566,10914,3668,332,11.048192771084338,7.6444382719046,9.5,0.1355421686746988,0.25301204819277107,0.4036144578313253,0.20783132530120482,0.939802089059923,0,0.0,0,0.0,0.0,134,104,16,5,12,0.25301204819277107,0.3132530120481928,0.04819277108433735,0.015060240963855422,0.03614457831325301,0.5965103598691385,0.03789531079607415,0.026172300981461286,0.03271537622682661,0.0024536532170119957,0.03326063249727372,0.0054525627044711015,0.014176663031624863,0.0024536532170119957,0.03026172300981461,0.0027262813522355507,0.015539803707742638,ok
